mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.74803, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73434, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69242, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.66566, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.74986, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72205, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73114, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.76954, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69811, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69034, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69581, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70534, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71158, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72099, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70352, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71517, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68275, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68634, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70150, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70653, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72438, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68528, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70262, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72666, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68563, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70640, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73178, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.69862, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.72518, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70806, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68230, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71850, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.67946, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.73907, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68278, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.68723, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.71302, verif: -1
mergeBatches Taille_M: 10000, nbthreads: 1024, numblocks: 65535, Temps: 6.70666, verif: -1
