sort_stream Taille_M: 1570, nbthreads: 1024, numblocks: 65535, Temps: 740.96765, verif: -1
sort_stream Taille_M: 1580, nbthreads: 1024, numblocks: 65535, Temps: 744.63818, verif: -1
sort_stream Taille_M: 1590, nbthreads: 1024, numblocks: 65535, Temps: 749.45496, verif: -1
sort_stream Taille_M: 1600, nbthreads: 1024, numblocks: 65535, Temps: 750.51440, verif: -1
sort_stream Taille_M: 1610, nbthreads: 1024, numblocks: 65535, Temps: 752.89917, verif: -1
sort_stream Taille_M: 1620, nbthreads: 1024, numblocks: 65535, Temps: 751.57593, verif: -1
sort_stream Taille_M: 1630, nbthreads: 1024, numblocks: 65535, Temps: 762.91486, verif: -1
sort_stream Taille_M: 1640, nbthreads: 1024, numblocks: 65535, Temps: 761.71118, verif: -1
sort_stream Taille_M: 1650, nbthreads: 1024, numblocks: 65535, Temps: 772.10333, verif: -1
sort_stream Taille_M: 1660, nbthreads: 1024, numblocks: 65535, Temps: 768.07355, verif: -1
sort_stream Taille_M: 1670, nbthreads: 1024, numblocks: 65535, Temps: 783.17889, verif: -1
sort_stream Taille_M: 1680, nbthreads: 1024, numblocks: 65535, Temps: 781.01440, verif: -1
sort_stream Taille_M: 1690, nbthreads: 1024, numblocks: 65535, Temps: 779.19275, verif: -1
sort_stream Taille_M: 1700, nbthreads: 1024, numblocks: 65535, Temps: 781.85876, verif: -1
sort_stream Taille_M: 1710, nbthreads: 1024, numblocks: 65535, Temps: 789.99902, verif: -1
sort_stream Taille_M: 1720, nbthreads: 1024, numblocks: 65535, Temps: 792.68652, verif: -1
sort_stream Taille_M: 1730, nbthreads: 1024, numblocks: 65535, Temps: 786.62067, verif: -1
sort_stream Taille_M: 1740, nbthreads: 1024, numblocks: 65535, Temps: 801.75610, verif: -1
sort_stream Taille_M: 1750, nbthreads: 1024, numblocks: 65535, Temps: 789.01227, verif: -1
sort_stream Taille_M: 1760, nbthreads: 1024, numblocks: 65535, Temps: 792.07721, verif: -1
sort_stream Taille_M: 1770, nbthreads: 1024, numblocks: 65535, Temps: 797.45941, verif: -1
sort_stream Taille_M: 1780, nbthreads: 1024, numblocks: 65535, Temps: 794.93390, verif: -1
sort_stream Taille_M: 1790, nbthreads: 1024, numblocks: 65535, Temps: 809.99377, verif: -1
sort_stream Taille_M: 1800, nbthreads: 1024, numblocks: 65535, Temps: 807.93518, verif: -1
sort_stream Taille_M: 1810, nbthreads: 1024, numblocks: 65535, Temps: 815.15765, verif: -1
sort_stream Taille_M: 1820, nbthreads: 1024, numblocks: 65535, Temps: 816.91504, verif: -1
sort_stream Taille_M: 1830, nbthreads: 1024, numblocks: 65535, Temps: 816.93005, verif: -1
sort_stream Taille_M: 1840, nbthreads: 1024, numblocks: 65535, Temps: 829.55206, verif: -1
sort_stream Taille_M: 1850, nbthreads: 1024, numblocks: 65535, Temps: 830.85657, verif: -1
sort_stream Taille_M: 1860, nbthreads: 1024, numblocks: 65535, Temps: 839.03082, verif: -1
sort_stream Taille_M: 1870, nbthreads: 1024, numblocks: 65535, Temps: 840.01746, verif: -1
sort_stream Taille_M: 1880, nbthreads: 1024, numblocks: 65535, Temps: 834.07092, verif: -1
sort_stream Taille_M: 1890, nbthreads: 1024, numblocks: 65535, Temps: 845.12317, verif: -1
sort_stream Taille_M: 1900, nbthreads: 1024, numblocks: 65535, Temps: 847.85620, verif: -1
sort_stream Taille_M: 1910, nbthreads: 1024, numblocks: 65535, Temps: 849.49097, verif: -1
sort_stream Taille_M: 1920, nbthreads: 1024, numblocks: 65535, Temps: 944.07001, verif: -1
sort_stream Taille_M: 1930, nbthreads: 1024, numblocks: 65535, Temps: 863.05084, verif: -1
sort_stream Taille_M: 1940, nbthreads: 1024, numblocks: 65535, Temps: 865.77142, verif: -1
sort_stream Taille_M: 1950, nbthreads: 1024, numblocks: 65535, Temps: 868.83490, verif: -1
sort_stream Taille_M: 1960, nbthreads: 1024, numblocks: 65535, Temps: 869.36993, verif: -1
sort_stream Taille_M: 1970, nbthreads: 1024, numblocks: 65535, Temps: 868.32745, verif: -1
sort_stream Taille_M: 1980, nbthreads: 1024, numblocks: 65535, Temps: 871.60364, verif: -1
